,Unnamed: 0,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,gender_map,race/ethinicity_map,parental_level_of_education_map,lunch_map,test_preparation_course_map,Result,math_performance,reading_performance,writing_performance,total,percentage,grades,Result_map,grades_map
0,0,female,group B,bachelor's degree,standard,none,72,72,74,1,1,1,1,0,Pass,1,1,1,218,72.66666666666667,first,1,3
1,1,female,group C,some college,standard,completed,69,90,88,1,2,6,1,1,Pass,1,1,1,247,82.33333333333334,Distinction,1,4
2,2,female,group B,master's degree,standard,none,90,95,93,1,1,2,1,0,Pass,1,1,1,278,92.66666666666666,Distinction,1,4
3,3,male,group A,associate's degree,free/reduced,none,47,57,44,0,3,3,2,0,Pass,1,1,1,148,49.333333333333336,third,1,1
4,4,male,group C,some college,standard,none,76,78,75,0,2,6,1,0,Pass,1,1,1,229,76.33333333333333,first,1,3
5,5,female,group B,associate's degree,standard,none,71,83,78,1,1,3,1,0,Pass,1,1,1,232,77.33333333333333,first,1,3
6,6,female,group B,some college,standard,completed,88,95,92,1,1,6,1,1,Pass,1,1,1,275,91.66666666666666,Distinction,1,4
7,7,male,group B,some college,free/reduced,none,40,43,39,0,1,6,2,0,Fail,1,1,0,122,40.666666666666664,fail,0,0
8,8,male,group D,high school,free/reduced,completed,64,64,67,0,4,4,2,1,Pass,1,1,1,195,65.0,first,1,3
9,9,female,group B,high school,free/reduced,none,38,60,50,1,1,4,2,0,Fail,0,1,1,148,49.333333333333336,fail,0,0
10,10,male,group C,associate's degree,standard,none,58,54,52,0,2,3,1,0,Pass,1,1,1,164,54.666666666666664,second,1,2
11,11,male,group D,associate's degree,standard,none,40,52,43,0,4,3,1,0,Pass,1,1,1,135,45.0,fail,1,0
12,12,female,group B,high school,standard,none,65,81,73,1,1,4,1,0,Pass,1,1,1,219,73.0,first,1,3
13,13,male,group A,some college,standard,completed,78,72,70,0,3,6,1,1,Pass,1,1,1,220,73.33333333333333,first,1,3
14,14,female,group A,master's degree,standard,none,50,53,58,1,3,2,1,0,Pass,1,1,1,161,53.666666666666664,second,1,2
15,15,female,group C,some high school,standard,none,69,75,78,1,2,5,1,0,Pass,1,1,1,222,74.0,first,1,3
16,16,male,group C,high school,standard,none,88,89,86,0,2,4,1,0,Pass,1,1,1,263,87.66666666666667,Distinction,1,4
17,17,female,group B,some high school,free/reduced,none,18,32,28,1,1,5,2,0,Fail,0,0,0,78,26.0,fail,0,0
18,18,male,group C,master's degree,free/reduced,completed,46,42,46,0,2,2,2,1,Pass,1,1,1,134,44.666666666666664,third,1,1
19,19,female,group C,associate's degree,free/reduced,none,54,58,61,1,2,3,2,0,Pass,1,1,1,173,57.666666666666664,second,1,2
20,20,male,group D,high school,standard,none,66,69,63,0,4,4,1,0,Pass,1,1,1,198,66.0,first,1,3
21,21,female,group B,some college,free/reduced,completed,65,75,70,1,1,6,2,1,Pass,1,1,1,210,70.0,first,1,3
22,22,male,group D,some college,standard,none,44,54,53,0,4,6,1,0,Pass,1,1,1,151,50.33333333333333,second,1,2
23,23,female,group C,some high school,standard,none,69,73,73,1,2,5,1,0,Pass,1,1,1,215,71.66666666666667,first,1,3
